meantime,labels,mediantime
1.76,13-Q2,0.44
3.03,13-Q3,1.01
4.13,13-Q4,0.8
9.81,14-Q1,3.58
14.14,14-Q2,5.06
13.8,14-Q3,4.96
11.84,14-Q4,1.96
18.97,15-Q1,3.55
