bmi,labels,abandoned,merged
0.93,13-Q2,95,333
0.82,13-Q3,180,506
0.83,13-Q4,239,535
0.83,14-Q1,284,846
0.74,14-Q2,169,480
0.69,14-Q3,130,502
0.78,14-Q4,125,472
0.75,15-Q1,120,437
