commitstopone,orgstopone,commitstoptwo,projects,orgstoptwo
170,Red Hat,36,neutron,HP
80,Mirantis,22,sahara,Red Hat
51,Red Hat,27,ceilometer,Huawei
54,HP,49,horizon,Red Hat
104,Mirantis,33,heat,IBM
171,IBM,59,nova,Red Hat
4,Tesora,2,trove,IBM
18,SwiftStack,17,swift,HP
11,Red Hat,9,glance,HP
33,IBM,25,cinder,SolidFire
127,IBM,29,keystone,Rackspace
