meantime,labels,mediantime
11.47,13-Q2,4.21
12.4,13-Q3,6.45
12.34,13-Q4,5.26
15.4,14-Q1,6.13
23.12,14-Q2,9.67
23.34,14-Q3,8.37
28.88,14-Q4,12.6
30.13,15-Q1,7.36
