medianpatchsets,labels,meanpatchsets
1.0,12-Q4,3.36
3.0,13-Q1,4.19
3.0,13-Q2,3.88
3.0,13-Q3,4.7
2.0,13-Q4,3.55
2.0,14-Q1,3.69
2.0,14-Q2,3.3
2.0,14-Q3,2.54
