commits,authors
25,Sean Dague
20,Adam Gandelman
14,Dean Troyer
10,Ian Wienand
8,YAMAMOTO Takashi
7,Chris Dent
7,Joe Gordon
7,Mate Lakat
5,Davanum Srinivas
5,Kyle Mestery
