bmi,labels,abandoned,merged
1.83,12-Q4,3,50
0.76,13-Q1,22,149
0.96,13-Q2,21,163
0.87,13-Q3,12,118
0.85,13-Q4,18,145
0.89,14-Q1,19,122
0.82,14-Q2,8,76
0.72,14-Q3,5,57
