bmi,labels,abandoned,merged
0.93,13-Q1,629,3488
0.86,13-Q2,727,3443
0.88,13-Q3,1150,4786
0.78,13-Q4,1188,3720
0.8,14-Q1,1706,4539
0.71,14-Q2,873,3502
0.75,14-Q3,1016,4803
0.71,14-Q4,756,3739
