medianpatchsets,labels,meanpatchsets
2.0,12-Q4,2.78
2.0,13-Q1,2.23
1.0,13-Q2,2.2
2.0,13-Q3,2.44
2.0,13-Q4,3.29
3.0,14-Q1,4.34
2.0,14-Q2,4.02
2.0,14-Q3,3.37
