meantime,labels,mediantime
11.9,12-Q4,0.98
8.27,13-Q1,0.45
20.48,13-Q2,0.43
8.42,13-Q3,0.48
5.93,13-Q4,0.59
10.8,14-Q1,0.75
13.25,14-Q2,1.12
13.37,14-Q3,1.0
