medianpatchsets,labels,meanpatchsets
1.0,13-Q1,2.3
2.0,13-Q2,2.57
2.0,13-Q3,2.52
2.0,13-Q4,2.17
1.0,14-Q1,2.28
1.0,14-Q2,2.83
2.0,14-Q3,3.15
2.0,14-Q4,2.58
