bmi,labels,abandoned,merged
0.96,13-Q1,22,152
0.9,13-Q2,16,188
0.9,13-Q3,71,324
0.85,13-Q4,35,160
0.87,14-Q1,73,237
0.73,14-Q2,35,146
0.8,14-Q3,38,176
0.82,14-Q4,32,165
