medianpatchsets,labels,meanpatchsets
2.0,13-Q1,3.14
2.0,13-Q2,3.54
2.0,13-Q3,3.34
2.0,13-Q4,3.98
2.0,14-Q1,3.79
3.0,14-Q2,5.19
2.0,14-Q3,3.66
2.0,14-Q4,3.7
