meantime,labels,mediantime
8.72,13-Q1,2.37
3.5,13-Q2,0.86
4.92,13-Q3,1.31
8.18,13-Q4,3.12
8.86,14-Q1,3.02
10.44,14-Q2,3.07
13.0,14-Q3,5.25
11.16,14-Q4,3.15
