meantime,labels,mediantime
6.93,12-Q4,0.23
7.57,13-Q1,0.6
7.38,13-Q2,0.62
8.29,13-Q3,0.71
8.82,13-Q4,0.76
11.05,14-Q1,0.84
10.78,14-Q2,0.82
13.43,14-Q3,0.87
