bmi,labels,abandoned,merged
0.93,13-Q1,29,70
1.01,13-Q2,37,276
0.97,13-Q3,57,498
0.96,13-Q4,62,530
0.84,14-Q1,123,728
0.78,14-Q2,207,491
0.83,14-Q3,115,566
0.76,14-Q4,42,351
