bmi,labels,abandoned,merged
1.12,12-Q4,508,2974
0.94,13-Q1,607,2851
0.65,13-Q2,940,3944
0.77,13-Q3,961,2964
0.81,13-Q4,1440,3516
0.69,14-Q1,714,2714
0.74,14-Q2,892,3777
0.65,14-Q3,391,1845
