commits,id,authors
413,194,Andreas Jaeger
281,49,Sean Dague
240,7,Clark Boylan
221,342,Ihar Hrachyshka
203,567,Kevin Benton
169,361,Christian Berendt
164,15,James E. Blair
148,36,Joe Gordon
146,159,Joshua Harlow
145,1,Monty Taylor
