medianpatchsets,labels,meanpatchsets
2.0,12-Q4,2.4
1.0,13-Q1,1.94
2.0,13-Q2,2.45
1.0,13-Q3,2.58
2.0,13-Q4,3.48
2.0,14-Q1,3.51
2.0,14-Q2,3.38
2.0,14-Q3,2.83
