meantime,labels,mediantime
3.52,13-Q1,0.32
3.82,13-Q2,0.5
6.61,13-Q3,0.51
6.24,13-Q4,0.81
7.27,14-Q1,1.01
7.86,14-Q2,0.92
6.61,14-Q3,0.81
5.56,14-Q4,0.69
