meantime,labels,mediantime
5.59,13-Q1,3.91
25.29,13-Q2,16.36
14.44,13-Q3,1.32
28.75,13-Q4,10.88
16.72,14-Q1,3.76
20.76,14-Q2,3.92
21.35,14-Q3,4.19
26.5,14-Q4,9.87
