commits,id,authors
359,15,James E. Blair
356,1,Monty Taylor
237,516,rbtcollins
230,194,Andreas Jaeger
200,7,Clark Boylan
200,10,Mark McLoughlin
170,731,Sergey Lukjanov
167,477,Armando Migliaccio
166,36,Joe Gordon
161,419,Salvatore Orlando
