medianpatchsets,labels,meanpatchsets
1.0,13-Q1,2.66
2.0,13-Q2,3.19
2.0,13-Q3,4.28
2.0,13-Q4,4.09
2.0,14-Q1,4.32
2.0,14-Q2,4.73
2.0,14-Q3,5.02
2.0,14-Q4,4.4
