medianpatchsets,labels,meanpatchsets
nan,13-Q1,nan
2.0,13-Q2,3.16
2.0,13-Q3,3.58
3.0,13-Q4,4.71
3.0,14-Q1,5.06
3.0,14-Q2,6.4
3.0,14-Q3,6.16
2.0,14-Q4,4.42
