medianpatchsets,labels,meanpatchsets
2.0,13-Q1,3.47
2.0,13-Q2,3.99
3.0,13-Q3,4.83
2.0,13-Q4,5.49
3.0,14-Q1,5.41
3.0,14-Q2,5.43
3.0,14-Q3,4.99
2.0,14-Q4,3.99
