meantime,labels,mediantime
3.86,12-Q4,0.28
3.24,13-Q1,0.67
4.89,13-Q2,0.93
5.31,13-Q3,1.04
7.05,13-Q4,1.46
8.1,14-Q1,1.17
6.59,14-Q2,0.88
6.68,14-Q3,1.43
