occasional,core,labels,regular
250,94,13-Q1,149
291,121,13-Q2,209
390,157,13-Q3,238
366,161,13-Q4,245
488,177,14-Q1,304
453,171,14-Q2,318
584,191,14-Q3,369
451,175,14-Q4,326
