bmi,timereview,projects
0.67,6.56,neutron
0.78,1.87,sahara
0.75,2.73,ceilometer
0.61,2.98,horizon
0.71,3.7,heat
0.54,9.13,nova
0.65,10.95,trove
0.67,2.8,swift
0.6,10.53,glance
0.8,3.22,cinder
0.54,5.75,keystone
0.8,1.7,ironic
