commits,id,authors
245,1,Monty Taylor
217,15,James E. Blair
207,474,Robert Collins
181,10,Mark McLoughlin
179,194,Andreas Jaeger
155,685,Sergey Lukjanov
140,36,Joe Gordon
124,794,Steve Baker
119,557,Clint Byrum
116,47,Julien Danjou
