commits,id,authors
393,194,Andreas Jaeger
216,49,Sean Dague
202,474,Robert Collins
186,15,James E. Blair
172,733,Brant Knudson
159,287,Jeremy Stanley
155,36,Joe Gordon
135,685,Sergey Lukjanov
114,2538,shillasaebi
112,837,Matthew Farrellee
