id,sent,senders
105736,16349,clarkb
103751,13256,anteaya
116348,12789,lifeless
121294,11676,sdague
117814,10740,morganfainberg
108316,9763,fungi
106658,8704,devananda
117801,8594,mordred
104205,7602,ayoung
114548,7310,jeblair
122084,6150,SpamapS
123503,5920,ttx
118674,5347,NobodyCam
116640,5300,lucasagomes
107480,4886,eglynn
