commits,authors
10,john-griffith
9,Eric Harney
9,Mike Perez
8,Joshua Harlow
7,LarryLiu
7,Petrut Lucian
6,Dirk Mueller
6,Walter A. Boring IV
5,Andreas Jaeger
5,git-harry
