commits,id,authors
285,194,Andreas Jaeger
204,49,Sean Dague
140,354,Christian Berendt
140,159,Joshua Harlow
118,328,Matt Riedemann
108,7,Clark Boylan
98,36,Joe Gordon
87,1225,Diane Fleming
83,15,James E. Blair
82,733,Brant Knudson
