commits,id,authors
316,194,Andreas Jaeger
166,49,Sean Dague
155,685,Sergey Lukjanov
146,15,James E. Blair
128,1225,Diane Fleming
128,36,Joe Gordon
118,855,Angus Salkeld
114,26,Dan Prince
102,474,Robert Collins
84,159,Joshua Harlow
