commits,authors
107,Clark Boylan
102,Sean Dague
83,James E. Blair
66,Monty Taylor
63,Michael Krotscheck
50,Jeremy Stanley
48,Matt Riedemann
46,Derek Higgins
44,Konovalov-Nik
38,Marton Kiss
