meantime,labels,mediantime
13.95,13-Q4,1.89
13.76,14-Q1,1.95
12.51,14-Q2,1.23
12.4,14-Q3,0.96
18.7,14-Q4,1.24
12.16,15-Q1,0.97
12.29,15-Q2,0.97
10.68,15-Q3,1.05
