meantime,labels,mediantime
11.52,13-Q4,0.72
8.84,14-Q1,0.2
9.69,14-Q2,0.2
10.45,14-Q3,0.72
15.18,14-Q4,2.47
26.4,15-Q1,1.61
15.91,15-Q2,0.88
11.53,15-Q3,0.86
