meantime,labels,mediantime
4.65,13-Q4,2.09
13.2,14-Q1,7.1
14.34,14-Q2,6.91
24.51,14-Q3,13.55
16.01,14-Q4,4.45
15.24,15-Q1,4.07
12.55,15-Q2,3.02
12.92,15-Q3,3.9
