bmi,labels,abandoned,merged
0.8,13-Q4,11,38
0.93,14-Q1,8,67
0.84,14-Q2,23,102
0.91,14-Q3,12,182
0.76,14-Q4,16,101
0.92,15-Q1,18,171
0.88,15-Q2,29,137
0.92,15-Q3,81,248
