bmi,labels,abandoned,merged
0.91,13-Q4,142,932
0.91,14-Q1,237,1434
0.84,14-Q2,195,1211
0.83,14-Q3,178,1137
0.79,14-Q4,153,977
0.82,15-Q1,210,1401
0.82,15-Q2,207,1663
0.8,15-Q3,228,1693
