commits,authors
15,Clay Gerrard
10,alistair.coles
9,John Dickinson
8,janonymous.codevulture
7,Michael Barton
7,Samuel Merritt
7,Victor Stinner
6,David Goetz
5,Kota Tsuyuzaki
5,Tim Burke
