medianpatchsets,labels,meanpatchsets
2.0,13-Q4,3.77
2.0,14-Q1,2.85
2.0,14-Q2,3.17
2.0,14-Q3,2.81
2.0,14-Q4,3.95
2.0,15-Q1,3.58
2.0,15-Q2,2.92
2.0,15-Q3,2.56
