bmi,labels,abandoned,merged
0.86,13-Q4,44,200
0.85,14-Q1,47,245
0.79,14-Q2,60,244
0.88,14-Q3,45,260
0.8,14-Q4,21,199
0.83,15-Q1,44,419
0.82,15-Q2,58,383
0.79,15-Q3,60,498
