bmi,labels,abandoned,merged
0.99,13-Q4,12,214
0.87,14-Q1,33,119
0.92,14-Q2,28,374
0.89,14-Q3,40,186
0.82,14-Q4,26,89
0.9,15-Q1,48,206
0.89,15-Q2,58,344
0.93,15-Q3,43,391
