bmi,labels,abandoned,merged
0.98,13-Q4,67,1105
0.98,14-Q1,81,1027
0.97,14-Q2,67,856
0.95,14-Q3,72,1071
0.92,14-Q4,60,557
0.92,15-Q1,84,774
0.95,15-Q2,106,991
0.94,15-Q3,114,1150
