meantime,labels,mediantime
5.66,13-Q4,0.37
6.38,14-Q1,1.13
10.81,14-Q2,3.75
11.61,14-Q3,3.79
11.12,14-Q4,3.23
13.51,15-Q1,3.01
14.16,15-Q2,3.86
14.94,15-Q3,5.16
