meantime,labels,mediantime
19.45,13-Q4,2.28
13.99,14-Q1,3.34
21.45,14-Q2,3.63
25.52,14-Q3,2.56
12.45,14-Q4,1.67
12.76,15-Q1,1.49
14.35,15-Q2,1.63
17.17,15-Q3,2.34
