bmi,labels,abandoned,merged
0.73,13-Q4,65,130
0.73,14-Q1,59,143
0.68,14-Q2,27,79
0.64,14-Q3,47,164
0.6,14-Q4,29,128
0.71,15-Q1,23,142
0.67,15-Q2,26,138
0.61,15-Q3,53,149
