bmi,labels,abandoned,merged
0.86,13-Q4,31,53
0.84,14-Q1,46,95
0.77,14-Q2,20,86
0.86,14-Q3,52,123
0.8,14-Q4,42,81
0.86,15-Q1,55,147
0.87,15-Q2,52,199
0.91,15-Q3,79,370
