bmi,labels,abandoned,merged
0.81,13-Q4,75,440
0.87,14-Q1,107,534
0.69,14-Q2,62,341
0.73,14-Q3,63,336
0.73,14-Q4,53,389
0.83,15-Q1,53,426
0.8,15-Q2,62,521
0.84,15-Q3,74,629
