meantime,labels,mediantime
10.62,13-Q4,3.28
21.63,14-Q1,8.27
17.95,14-Q2,5.27
22.87,14-Q3,8.05
21.06,14-Q4,6.47
15.75,15-Q1,3.08
11.23,15-Q2,2.55
12.35,15-Q3,2.84
