companycommits,name
78,HP
19,IBM
14,UnitedStack
7,Red Hat
6,Nebula, Inc.
2,Mirantis
2,Rackspace
2,Yahoo, Inc.
1,Catalyst
1,Cisco
1,Fujitsu
