company_commits,name
28,OpenStack Foundation
18,Red Hat
14,HP
10,Canonical, Ltd.
9,SUSE
6,Symantec Corporation
3,Comcast
2,Cisco
2,Fujitsu
1,EMC
1,Federal University of Campina Grande
1,JHU APL
1,Rackspace
1,SwiftStack
