bmi,labels,abandoned,merged
0.95,13-Q4,58,514
0.83,14-Q1,122,721
0.77,14-Q2,207,481
0.83,14-Q3,116,561
0.75,14-Q4,43,329
0.79,15-Q1,43,278
0.8,15-Q2,71,370
0.6,15-Q3,59,220
