medianpatchsets,labels,meanpatchsets
1.0,13-Q4,1.67
2.0,14-Q1,2.27
2.0,14-Q2,3.06
2.0,14-Q3,2.91
3.0,14-Q4,3.85
3.0,15-Q1,3.5
2.0,15-Q2,2.65
2.0,15-Q3,3.06
