meantime,labels,mediantime
6.92,13-Q4,2.18
13.32,14-Q1,3.96
13.54,14-Q2,5.68
13.93,14-Q3,4.76
13.15,14-Q4,2.05
11.68,15-Q1,1.89
10.07,15-Q2,1.95
7.2,15-Q3,0.71
