occasional,core,labels,regular
433,185,13-Q4,262
567,214,14-Q1,326
565,203,14-Q2,348
657,209,14-Q3,384
569,208,14-Q4,390
681,279,15-Q1,489
644,243,15-Q2,420
635,257,15-Q3,435
