meantime,labels,mediantime
nan,13-Q4,nan
nan,14-Q1,nan
nan,14-Q2,nan
10.79,14-Q3,12.13
4.5,14-Q4,0.93
6.6,15-Q1,3.5
0.66,15-Q2,0.06
21.55,15-Q3,21.55
