occasional,core,labels,regular
580,233,14-Q1,340
592,222,14-Q2,358
690,238,14-Q3,403
610,241,14-Q4,414
740,308,15-Q1,517
706,290,15-Q2,466
758,336,15-Q3,503
754,293,15-Q4,472
