meantime,labels,mediantime
2.12,14-Q1,0.75
1.61,14-Q2,0.45
2.13,14-Q3,0.41
3.38,14-Q4,0.26
4.81,15-Q1,1.16
3.84,15-Q2,0.94
3.74,15-Q3,0.64
3.16,15-Q4,0.43
