medianpatchsets,labels,meanpatchsets
2.5,14-Q1,3.0
2.0,14-Q2,2.98
2.0,14-Q3,3.06
2.0,14-Q4,3.51
2.0,15-Q1,2.96
2.0,15-Q2,2.87
2.0,15-Q3,2.47
2.0,15-Q4,2.54
