companycommits,name
153,IBM
100,Red Hat
64,HP
38,Mirantis
33,Rackspace
29,Intel
22,NEC
18,VMWare
14,Cloudbase Solutions
11,EasyStack
9,Cloudwatt
8,KTH Royal Institute of Technology
8,Yahoo Inc.
7,Fujitsu
7,SUSE
5,99cloud
5,Citrix
3,Ericsson
3,Huawei
3,Individual
