meantime,labels,mediantime
6.63,14-Q1,0.62
6.71,14-Q2,0.92
8.75,14-Q3,1.42
7.0,14-Q4,1.06
8.67,15-Q1,1.23
8.43,15-Q2,1.51
10.81,15-Q3,2.02
15.53,15-Q4,2.08
