qid,site,visits,subject
85014,https://ask.openstack.org/en/question/85014/error-could-not-find-data-item-config\_use\_subnets-in-any-hiera-data-file/,629, error could not find data item
84573,https://ask.openstack.org/en/question/84573/how-can-i-access-my-private-cloud-from-across-the-internet/,176, how can i access my private
84176,https://ask.openstack.org/en/question/84176/rdoliberty-invalid-parameter-public\_address-on-classsaharakeystoneauth/,174, rdoliberty invalid parameter public\_address on classsaharakeystoneauth
84149,https://ask.openstack.org/en/question/84149/getting-warning-providing-attr-without-filter\_value-to-get\_urls-is-deprecated-as-of-the-170-release-and-may-be-removed-in-the-200-release/,148, getting warning providing attr without filter\_value
82848,https://ask.openstack.org/en/question/82848/openstack-sahara-api-failed/,139, openstack sahara api failed
82673,https://ask.openstack.org/en/question/82673/spin-up-vm-from-iso/,137, spin up vm from iso
82614,https://ask.openstack.org/en/question/82614/no-valid-host-was-found-unable-to-launch-instance-in-adminkiloubuntu-1404/,128, no valid host was found unable
82702,https://ask.openstack.org/en/question/82702/new-instance-stuck-on-scheduling-after-lunch/,122, new instance stuck on scheduling after
83448,https://ask.openstack.org/en/question/83448/kilo-error-creating-instances-no-valid-host-was-found/,115, kilo error creating instances no valid
82646,https://ask.openstack.org/en/question/82646/unsupported-object-type-networkrequestlist/,115, unsupported object type networkrequestlist
